DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA19,2017,5.05,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA19,2018,5.07,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA19,2019,4.98,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA19,2020,4.93,b
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA19,2021,5.02,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EE,2011,5.35,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EE,2012,5.41,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EE,2013,5.54,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EE,2014,6.48,b
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EE,2015,6.21,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EE,2016,5.56,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EE,2017,5.42,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EE,2018,5.07,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EE,2019,5.08,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EE,2020,5.03,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EE,2021,5.03,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EL,2011,5.96,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EL,2012,6.63,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EL,2013,6.60,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EL,2014,6.46,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EL,2015,6.51,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EL,2016,6.55,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EL,2017,6.11,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EL,2018,5.51,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EL,2019,5.11,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EL,2020,5.23,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EL,2021,5.79,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,ES,2011,6.28,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,ES,2012,6.47,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,ES,2013,6.29,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,ES,2014,6.81,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,ES,2015,6.87,
