DATAFLOW,LAST UPDATE,freq,unit,spdeps,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EA19,2018,8926.22,p
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EA19,2019,9129.09,p
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EA19,2020,9787.82,p
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EE,2009,2049.75,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EE,2010,1944.88,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EE,2011,1871.55,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EE,2012,1868.88,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EE,2013,1893.10,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EE,2014,1986.57,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EE,2015,2201.10,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EE,2016,2343.44,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EE,2017,2366.35,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EE,2018,2516.91,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EE,2019,2630.68,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EE,2020,3028.70,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EL,2009,5248.59,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EL,2010,5247.30,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EL,2011,4999.57,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EL,2012,4750.84,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EL,2013,4354.31,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EL,2014,4323.54,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EL,2015,4429.87,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EL,2016,4495.08,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EL,2017,4386.25,p
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EL,2018,4415.29,p
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EL,2019,4495.30,p
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EL,2020,4744.32,p
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,ES,2009,5802.16,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,ES,2010,5715.80,
